date,portfolio_value,cash,n_positions,portfolio_return,sp500_value,sp500_return
2024-01-25,113429.93750415796,113429.93750415796,0,13.429937504157952,152.131103515625,-3.750222521878588
2024-01-26,113429.93750415796,113429.93750415796,0,13.429937504157952,152.07388305664062,-3.786424562862767
2024-01-29,113429.93750415796,113429.93750415796,0,13.429937504157952,151.94041442871094,-3.8708670301930814
2024-01-30,113429.93750415796,113429.93750415796,0,13.429937504157952,151.3778839111328,-4.22676688163921
2024-01-31,113429.93750415796,113429.93750415796,0,13.429937504157952,151.5018310546875,-4.148348433928673
2024-02-01,113429.93750415796,113429.93750415796,0,13.429937504157952,150.9869842529297,-4.474079917887974
2024-02-02,113429.93750415796,113429.93750415796,0,13.429937504157952,149.31845092773438,-5.529721779109242
2024-02-05,113429.93750415796,113429.93750415796,0,13.429937504157952,148.54617309570312,-6.018323831987004
2024-02-06,113429.93750415796,113429.93750415796,0,13.429937504157952,150.70094299316406,-4.655051507298524
2024-02-07,113429.93750415796,113429.93750415796,0,13.429937504157952,150.62466430664062,-4.7033112413998435
2024-02-08,113429.93750415796,113429.93750415796,0,13.429937504157952,149.1182403564453,-5.656390307043512
2024-02-09,113429.93750415796,113429.93750415796,0,13.429937504157952,149.4614715576172,-5.439235984403967
2024-02-12,113429.93750415796,113429.93750415796,0,13.429937504157952,150.50074768066406,-4.7817103813551975
2024-02-13,113429.93750415796,113429.93750415796,0,13.429937504157952,149.1849822998047,-5.614164246439557
2024-02-14,113429.93750415796,113429.93750415796,0,13.429937504157952,148.4889678955078,-6.054516219093598
2024-02-15,113429.93750415796,113429.93750415796,0,13.429937504157952,150.5674591064453,-4.739503628506436
2024-02-16,113429.93750415796,113429.93750415796,0,13.429937504157952,150.39453125,-4.84891102329944
2024-02-20,113429.93750415796,113429.93750415796,0,13.429937504157952,151.6530303955078,-4.0526881608320515
2024-02-21,113429.93750415796,113429.93750415796,0,13.429937504157952,152.44078063964844,-3.554297076072166
2024-02-22,113429.93750415796,113429.93750415796,0,13.429937504157952,154.1411895751953,-2.4784882645533135
2024-02-23,113429.93750415796,113429.93750415796,0,13.429937504157952,155.47653198242188,-1.6336484745135715
2024-02-26,113429.93750415796,113429.93750415796,0,13.429937504157952,154.4678192138672,-2.271837360737994
2024-02-27,113429.93750415796,113429.93750415796,0,13.429937504157952,154.65036010742188,-2.15634802305964
2024-02-28,113429.93750415796,113429.93750415796,0,13.429937504157952,155.19793701171875,-1.8099089716573702
